cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CR000039458911;39458911;0;;PBO-SRO-BPI-11363897-068-2-CT-2537-0488-1;CH000004312318;IM00000000000000000000000ID-30117000000G;BL000008027669;;PTO00039458911;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-05-13 11-11-11;S;C;RA;CR000000000304;1;;;1;39458911;12.37;;;;;;;;;;;;;;
CR000017667011;17667011;0;;PBO-SRO-BPI-11363897-031-4-CT-2536-8420-1;CH000004311345;IM00000000000000000000000ID-301170000067;BL000008028028;;PTO00017667011;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-12-22 11-11-11;S;C;RA;CR000000000304;1;;;1;17667011;14.53;;;;;;;;;;;;;;
CR000010597461;10597461;0;;PBO-SRO-BPI-11363897-054-4-CT-2536-9773-1;CH000004316159;IM00000000000000000000000ID-30117000004K;BL000008028073;;PTO00010597461;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-02-28 11-11-11;S;C;RA;CR000000000304;1;;;1;10597461;16.26;;;;;;;;;;;;;;
CR000094405851;94405851;0;;PBO-SRO-BPI-11363897-009-6-WI-B210-3355-1;CH000004309432;IM00000000000000000000000ID-3011700000ZN;BL000008028017;;PTO00094405851;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2024-06-27 11-11-11;S;C;RA;CR000000000304;1;;;1;94405851;74.62;;;;;;;;;;;;;;
CR000038427731;38427731;0;;PBO-SRO-BPI-11363897-017-2-CT-2536-7848-1;SU000000870110;IM00000000000000000000000ID-301170000014;BL000008028025;;PTO00038427731;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-09-05 11-11-11;S;C;RA;CR000000000304;1;;;1;38427731;18.76;;;;;;;;;;;;;;
CR000022285831;22285831;0;;PBO-SRO-BPI-11363897-037-1-CT-2536-8827-1;CH000004316800;IM00000000000000000000000ID-30117000005D;BL000008028040;;PTO00022285831;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-06-29 11-11-11;E;C;RA;CR000000000304;1;;;1;22285831;23.92;;;;;;;;;;;;;;
CR000030358581;30358581;0;;PBO-SRO-BPI-11363897-011-1-CT-2536-7331-1;SU000000863688;IM00000000000000000000000ID-30117000001D;BL000008028019;;PTO00030358581;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-07-20 11-11-11;S;C;RA;CR000000000304;1;;;1;30358581;11.3;;;;;;;;;;;;;;
CR000002949421;2949421;0;;PBO-SRO-BPI-11363897-033-1-CT-2536-8552-1;CH000004315506;IM00000000000000000000000ID-30117000005I;BL000008028030;;PTO00002949421;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-02-09 11-11-11;S;C;RA;CR000000000304;1;;;1;2949421;13.83;;;;;;;;;;;;;;
CR000025635561;25635561;0;;PBO-SRO-BPI-11363897-007-3-CT-2536-7210-1;SU000000870123;IM00000000000000000000000ID-30117000001F;BL000008026395;;PTO00025635561;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-01-14 11-11-11;S;C;RA;CR000000000304;1;;;1;25635561;12.94;;;;;;;;;;;;;;
CR000007455771;7455771;0;;PBO-SRO-BPI-11363897-066-4-CT-2537-0543-1;CH000004323244;IM00000000000000000000000ID-301170000059;BL000008028097;;PTO00007455771;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-09-16 11-11-11;S;C;RA;CR000000000304;1;;;1;7455771;49.93;;;;;;;;;;;;;;
