fo_code;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_etat;fo_code_ext;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FOM00000000254;FI000016178977;31;3;7;OK;;;;;;;;;;
FOM00000000255;FI000016178978;32;3;8;OK;;;;;;;;;;
FOM00000000256;FI000016178977;32;3;8;OK;;;;;;;;;;
FOM00000000257;FI000016178978;33;3;9;OK;;;;;;;;;;
FOM00000000258;FI000016178977;33;3;9;OK;;;;;;;;;;
FOM00000000259;FI000016178978;34;3;10;OK;;;;;;;;;;
FOM00000000260;FI000016178977;34;3;10;OK;;;;;;;;;;
FOM00000000261;FI000016178978;35;3;11;OK;;;;;;;;;;
FOM00000000262;FI000016178977;35;3;11;OK;;;;;;;;;;
FOM00000000263;FI000016178978;36;3;12;OK;;;;;;;;;;
FOM00000000264;FI000016178977;36;3;12;OK;;;;;;;;;;
FOM00000000265;FI000016282589;109;19;1;OK;;;;;;;;;;
FOM00000000266;FI000016282589;110;19;2;OK;;;;;;;;;;
FOM00000000267;FI000016282589;111;19;3;OK;;;;;;;;;;
FOM00000000268;FI000016282589;112;19;4;OK;;;;;;;;;;
FOM00000000269;FI000016282589;113;19;5;OK;;;;;;;;;;
FOM00000000270;FI000016282589;114;19;6;OK;;;;;;;;;;
FOM00000000271;FI000016282589;115;20;1;OK;;;;;;;;;;
FOM00000000272;FI000016282589;116;20;2;OK;;;;;;;;;;
FOM00000000273;FI000016282589;117;20;3;OK;;;;;;;;;;
FOM00000000274;FI000016282589;118;20;4;OK;;;;;;;;;;
FOM00000000275;FI000016282589;119;20;5;OK;;;;;;;;;;
FOM00000000276;FI000016282589;120;20;6;OK;;;;;;;;;;
FOM00000000277;FI000016282589;121;21;1;OK;;;;;;;;;;
FOM00000000278;FI000016282589;122;21;2;OK;;;;;;;;;;
FOM00000000279;FI000016282589;123;21;3;OK;;;;;;;;;;
FOM00000000280;FI000016282589;124;21;4;OK;;;;;;;;;;
FOM00000000281;FI000016282589;125;21;5;OK;;;;;;;;;;
FOM00000000282;FI000016282589;126;21;6;OK;;;;;;;;;;
FOM00000000283;FI000016282589;127;22;1;OK;;;;;;;;;;
FOM00000000284;FI000016282589;128;22;2;OK;;;;;;;;;;
FOM00000000285;FI000016282589;129;22;3;OK;;;;;;;;;;
FOM00000000286;FI000016282589;130;22;4;OK;;;;;;;;;;
FOM00000000287;FI000016282589;131;22;5;OK;;;;;;;;;;
FOM00000000288;FI000016282589;132;22;6;OK;;;;;;;;;;
FOM00000000289;FI000016282589;133;23;1;OK;;;;;;;;;;
FOM00000000290;FI000016282589;134;23;2;OK;;;;;;;;;;
FOM00000000291;FI000016282589;135;23;3;OK;;;;;;;;;;
FOM00000000292;FI000016282589;136;23;4;OK;;;;;;;;;;
FOM00000000293;FI000016282589;137;23;5;OK;;;;;;;;;;
FOM00000000294;FI000016282589;138;23;6;OK;;;;;;;;;;
FOM00000000295;FI000016282497;139;24;1;OK;;;;;;;;;;
FOM00000000296;FI000016282589;139;24;1;OK;;;;;;;;;;
FOM00000000297;FI000016282497;140;24;2;OK;;;;;;;;;;
FOM00000000298;FI000016282589;140;24;2;OK;;;;;;;;;;
FOM00000000299;FI000016282497;141;24;3;OK;;;;;;;;;;
FOM00000000300;FI000016282589;141;24;3;OK;;;;;;;;;;
FOM00000000301;FI000016282497;142;24;4;OK;;;;;;;;;;
FOM00000000302;FI000016282589;142;24;4;OK;;;;;;;;;;
FOM00000000303;FI000016282497;143;24;5;OK;;;;;;;;;;
FOM00000000304;FI000016282589;143;24;5;OK;;;;;;;;;;
FOM00000000305;FI000016282497;144;24;6;OK;;;;;;;;;;
FOM00000000306;FI000016282589;144;24;6;OK;;;;;;;;;;
