ti_code;ti_codeext;ti_perirec;ti_abandon;ti_etiquet;ti_ba_code;ti_prop;ti_type;ti_rf_code;ti_taille;ti_placemt;ti_etat;ti_localis;ti_comment;ti_creadat;ti_majdate;ti_majsrc;ti_abddate;ti_abdsrc
TI000011725617;11725617;;0;B2-TIROIR-TRANSPORT-03;BA000012184125;PSIT0000000125;TIROIR;SH000000010163;3;20;;;;;;;;
TI000011727858;11727858;;0;B2-TIROIR-06;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;1;;;;;;;;
TI000011793460;11793460;;0;B2-TIROIR-03;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;20;;;;;;;;
TI000011793459;11793459;;0;B2-TIROIR-02;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;23;;;;;;;;
TI000011793461;11793461;;0;B2-TIROIR-04;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;17;;;;;;;;
TI000011793458;11793458;;0;B2-TIROIR-01;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;26;;;;;;;;
TI000011793462;11793462;;0;B2-TIROIR-05;BA000009912124;PSIT0000000125;TIROIR;SH000000010163;3;14;;;;;;;;
